"id","dob","sex"
"720","19750729","M"
"721","19750802","M"
"722","19750802","M"
"723","19750731","M"
"724","19750803","M"
"725","19750815","W"
"726","19750825","W"
"727","19750823","M"
"728","19750903","M"
"729","19750905","M"
"730","19750829","W"
"731","19750919","M"
"732","19750922","M"
"733","19750919","M"
"734","19750926","W"
"735","19750924","M"
"736","19750926","M"
"737","19750924","M"
"738","19750924","W"
"739","19750927","M"
"740","19750926","W"
"741","19751007","W"
"742","19751006","W"
"743","19751010","M"
"744","19751014","M"
"745","19751021","M"
"746","19751024","W"
"747","19751027","M"
"748","19751105","M"
"749","19751104","M"
"750","19751112","M"
"751","19751117","M"
"752","19751113","M"
"753","19751120","M"
"754","19751117","M"
"755","19751125","M"
"756","19751126","M"
"757","19751129","M"
"758","19751208","W"
"759","19751202","W"
"760","19751207","W"
"761","19751208","W"
"762","19751211","M"
"763","19751215","M"
"764","19751216","M"
"765","19751213","M"
"766","19751223","M"
"767","19751224","M"
"768","19760105","W"
"769","19751228","M"
"770","19760101","M"
"771","19760107","W"
"772","19760112","M"
"773","19760112","M"
"774","19760118","W"
"775","19760123","W"
"776","19760116","M"
"777","19760126","M"
"778","19760208","M"
"779","19760208","W"
"780","19760202","W"
"781","19760204","M"
"782","19760215","W"
"783","19760217","M"
"784","19760222","W"
"785","19760228","W"
"786","19760223","W"
"787","19760228","M"
"788","19760311","W"
"789","19760305","W"
"790","19760314","W"
"791","19760318","M"
"792","19760316","W"
"793","19760406","M"
"794","19760330","W"
"795","19760329","M"
"796","19760405","M"
"797","19760409","M"
"798","19760411","W"
"799","19760407","M"
"800","19760417","W"
"801","19760413","M"
"802","19760419","M"
"803","19760426","W"
"804","19760504","W"
"805","19760506","W"
"806","19760505","M"
"807","19760508","W"
"808","19760510","M"
"809","19760526","M"
"810","19760519","M"
"811","19760524","M"
"812","19760604","M"
"813","19760530","W"
"814","19760604","M"
"815","19760609","W"
"816","19760612","W"
"817","19760603","M"
"818","19760616","W"
"819","19760616","M"
"820","19760620","W"
"821","19760618","M"
"822","19760626","M"
"823","19760626","M"
"824","19760628","W"
"825","19760701","M"
"826","19760707","W"
"827","19760708","W"
"828","19760710","M"
"829","19760712","M"
"830","19760715","M"
"831","19760719","M"
"832","19760727","W"
"833","19760803","M"
"834","19760802","M"
